;title_s;authors;year_i;type;id;collected_by;number_authors
175;Edinburgh Associative Thesaurus as RDF and DBpedia Mapping.;['Jörn Hees', 'Rouven Bauer', 'Joachim Folz', 'Damian Borth', 'Andreas Dengel'];2016;Publication;175;Frank;5
176;Concept notion for automatic and dynamic thesaurus updating.;['Marie-France Bruandet'];1982;Publication;176;Frank;1
177;A semantic web methodological framework to evaluate the support of integrity in thesaurus tools.;['M. Mercedes Martínez-González', 'María Luisa Alvite Díez'];2020;Publication;177;Frank;2
178;Thesaurus EUROVOC;[' ?'];2004;Publication;178;Frank;1
179;Generating High-Coverage Semantic Orientation Lexicons From Overtly Marked Words and a Thesaurus.;['Saif Mohammad', 'Cody Dunne', 'Bonnie J. Dorr'];2009;Publication;179;Frank;3
180;The Thesaurus;['Carla Marello'];1990;Publication;180;Frank;1
181;Thesaurus and Domain Ontology of Geoinformatics.;['Boriana Deliiska'];2007;Publication;181;Frank;1
182;Keyword extraction of web pages based on domain thesaurus.;['Guowan He', 'Jie Wang', 'Yafeng Zhang', 'Yan Peng'];2014;Publication;182;Frank;4
183;The National Cancer Institute's Thesaurus and Ontology;['Jennifer Golbeck', 'Gilberto Fragoso', 'Frank Hartel', 'James Hendler', 'Bijan Parsia', 'Jim Oberthaler'];2003;Publication;183;Frank;6
184;Thesaurus Based Term Ranking for Keyword Extraction.;['Luit Gazendam', 'Christian Wartena', 'Rogier Brussee'];2010;Publication;184;Frank;3
185;Thesaurus-Based Structural Thematic Summary in Multilingual Information Systems;['Natalia V Loukachevitch', 'Boris V Dobrov'];2000;Publication;185;Frank;2
186;Automatischer Aufbau eines multilingualen Thesaurus durch Extraktion semantischer und lexikalischer Relationen aus der Wikipedia;['Daniel Kinzler'];2008;Publication;186;Frank;1
187;Thesaurus or Logical Ontology, Which do we Need for Mining Text?;['Junichi Tsujii'];2004;Publication;187;Frank;1
188;Segmentation of Review Texts by using Thesaurus and Corpus-based Word Similarity.;['Yoshimi Suzuki', 'Fumiyo Fukumoto'];2012;Publication;188;Frank;2
189;Another Investigation of an Interontologia between Chinese Lexical Systems and Roget's Thesaurus.;['Sang-Rak Kim', 'Jae-Gun Yang', 'Jae-Hak J. Bae'];2010;Publication;189;Frank;3
190;PLSI Utilization for Automatic Thesaurus Construction.;['Masato Hagiwara', 'Yasuhiro Ogawa', 'Katsuhiko Toyama'];2005;Publication;190;Frank;3
191;Roget s II: The New Thesaurus;[' Roget'];1995;Publication;191;Frank;1
192;A method for re-engineering a thesaurus into an ontology.;['Daniel Kless', 'Ludger Jansen', 'Jutta Lindenthal', 'Jens Wiebensohn'];2012;Publication;192;Frank;4
193;A Domain-Independent Software Reuse Framework Based on a Hierarchical Thesaurus.;['Hsien-Chou Liao', 'Ming-Feng Chen', 'Feng-Jian Wang'];1998;Publication;193;Frank;3
194;'Noûs, INTO CHAOS': THE CREATION OF THE THESAURUS OF THE GREEK LANGUAGE;['Maria Pantelia'];2000;Publication;194;Frank;1
195;Using Grammatical Relations to Automate Thesaurus Construction.;['Dongqiang Yang', 'David M. W. Powers'];2010;Publication;195;Frank;2
196;Towards terminology services: Experiences with a pilot web service thesaurus browser.;['Douglas Tudhope', 'Ceri Binding'];2005;Publication;196;Frank;2
197;A Hypertextual Interface for a Searcher's Thesaurus.;['Eric H. Johnson', 'Pauline A. Cochrane'];1995;Publication;197;Frank;2
198;TALP at GeoCLEF 2006: Experiments Using JIRS and Lucene with the ADL Feature Type Thesaurus.;['Daniel Ferrés', 'Horacio Rodríguez'];2006;Publication;198;Frank;2
199;Evaluation of a Thesaurus-Based Query Expansion Technique;['Vera de Lima Luiz Pizzato'];2003;Publication;199;Frank;1
200;Grading glioma tumors using OWL-DL and NCI Thesaurus.;['Gwenaëlle Marquet', 'Olivier Dameron', 'Stephan Saikali', 'Jean Mosser', 'Anita Burgun'];2007;Publication;200;Frank;5
201;A Thesaurus-Guided Method for Smart Manufacturing Diagnostics.;['Farhad Ameri', 'Reid Yoder'];2019;Publication;201;Frank;2
202;Study on the Construction of Metrology Thesaurus System in Digital Age.;['Caijun Yang', 'Yao Wu', 'Yitong Liu'];2019;Publication;202;Frank;3
203;Using term dependencies of a thesaurus in the fuzzy set model.;['Joon Ho Lee', 'Myoung-Ho Kim', 'Young Hwa Cho'];1993;Publication;203;Frank;3
204;Thesaurus dataset of educational technology in Chinese.;['Linjing Wu', 'Qingtang Liu', 'Gang Zhao', 'Huan Huang', 'Tao Huang'];2015;Publication;204;Frank;5
205;Corpus+WordNet thesaurus generation for ontology enriching.;['Fernando M. B. M. de Castilho', 'Roger Granada', 'Breno Meneghetti', 'Leonardo Carvalho', 'Renata Vieira'];2012;Publication;205;Frank;5
206;Automatic thesaurus construction by machine learning from retrieval sessions.;['Ulrich Güntzer', 'Gerald Jüttner', 'Gerhard Seegmüller', 'Frank Sarre'];1989;Publication;206;Frank;4
207;Projecting Corpus-Based Semantic Links on a Thesaurus.;['Emmanuel Morin'];1999;Publication;207;Frank;1
208;High-Level Concept Detection in Video Using a Region Thesaurus.;['Evaggelos Spyrou', 'Yannis Avrithis'];2007;Publication;208;Frank;2
209;NCI Thesaurus: Using Science-Based Terminology to Integrate Cancer Research Results.;['Sherri de Coronado', 'Margaret W. Haber', 'Nicholas Sioutos', 'Mark S. Tuttle', 'Lawrence W. Wright'];2004;Publication;209;Frank;5
210;"Thesaurus ecclesiae Constantiensis: der mittelalterliche Domschatz von Konstanz ; Rekonstruktion eines verlorenen Schatzensembles";['Melanie Prange'];2009;Publication;210;Frank;1
211;A Region Thesaurus Approach for High-Level Concept Detection in the Natural Disaster Domain.;['Evaggelos Spyrou', 'Yannis Avrithis'];2007;Publication;211;Frank;2
212;Construire des représentations denses à partir de thésaurus distributionnels (Distributional Thesaurus Embedding and its Applications).;['Olivier Ferret'];2017;Publication;212;Frank;1
213;A modeling of search oriented thesaurus use based on multivalued logical inference.;['Tetsuya Murai', 'Masaaki Miyakoshi', 'Masaru Shimbo'];1988;Publication;213;Frank;3
214;Thesaurus: AUV teams for archaeological search. Field results on acoustic communication and localization with the Typhoon.;['Andrea Caiti', 'Vincenzo Calabrò', 'Francesco Di Corato', 'Tommaso Fabbri', 'Davide Fenucci', 'Andrea Munafò', 'Benedetto Allotta', 'Fabio Bartolini', 'Riccardo Costanzi', 'Jonathan Gelli', 'Niccolò Monni', 'Marco Natalini', 'Luca Pugi', 'Alessandro Ridolfi'];2014;Publication;214;Frank;14
215;Multifunction Thesaurus For Russian Word Processing.;['Igor A. Bolshakov'];1994;Publication;215;Frank;1
216;Building thesaurus lexicon using dictionary-based approach for sentiment classification.;['Seong Ik Park', 'Yanggon Kim'];2016;Publication;216;Frank;2
217;The Value of Usage Scenarios for Thesaurus Alignment in Cultural Heritage Context;['Antoine Isaac', 'Claus Zinn', 'Henk Matthezing', 'Lourens van der Meij', 'Stefan Schlobach', 'Shenghui Wang'];2007;Publication;217;Frank;6
218;Improvements in automatic thesaurus extraction;['James R. Curran', 'Marc Moens'];2002;Publication;218;Frank;2
219;A Competition-Based Connectionist Model for Information Retrieval Using a Merged Thesaurus.;['Inien Syu', 'Sheau-Dong Lang'];1994;Publication;219;Frank;2
220;TheSys - A comprehensive thesaurus system for intelligent document analysis and text retrieval.;['Chin Lu', 'K. H. Lee', 'H. Y. Chen'];1995;Publication;220;Frank;3
221;Putting ontology alignment in context: usage scenarios, deployment and evaluation in a library case;['Antoine Isaac', 'Henk Matthezing', 'Lourens van der Meij', 'Stefan Schlobach', 'Shenghui Wang', 'Claus Zinn'];2008;Publication;221;Frank;6
222;Integrating Terminological Tools and Semantic Archaeological Information: the ICCD RA Schema and Thesaurus.;['Achille Felicetti', 'Ilenia Galluccio', 'Cinzia Luddi', 'Maria Letizia Mancinelli', 'Tiziana Scarselli', 'Antonio Davide Madonna'];2015;Publication;222;Frank;6
223;Automatic thesaurus construction.;['Dongqiang Yang', 'David M. W. Powers'];2008;Publication;223;Frank;2
225;Generation Of Thesaurus In Different Languages A Computer Based System.;['F. J. Devadason'];1980;Publication;225;Frank;1
226;MenUSE for Medicine: End-User Browsing and Searching of MEDLINE via The MeSH Thesaurus.;['Arthur S. Pollitt'];1988;Publication;226;Frank;1
227;Issues in the development of a thesaurus for patients' chief complaints in the emergency department.;['Stephanie W. Haas', 'Debbie A. Travers'];2004;Publication;227;Frank;2
228;Book Review: Essential Thesaurus Construction by Vanda Broughton: 2006, London: Facet Publishing, 296pp, £22.95, ISBN 185604565X.;['Rodney Brunt'];2007;Publication;228;Frank;1
229;Nature of Chinese Thesaurus Automatic Construction and Its Study of Major Technologies in Digital Libraries.;['Wen Zeng', 'Huilin Wang'];2010;Publication;229;Frank;2
230;Production of a Hierarchical Chemical Thesaurus.;['Herbert B. Landau', 'Wendy L. Byer'];1976;Publication;230;Frank;2
231;Thesaurus in Law: Some Problems of Construction.;['Suneeti Rao'];1990;Publication;231;Frank;1
232;Inverted file organization in the information retrieval system based on thesaurus with weights.;['Zygmunt Mazur'];1979;Publication;232;Frank;1
233;Cooperation, Bookmarking, and Thesaurus in Interactive Bilingual Question Answering.;['Preben Hansen', 'Jussi Karlgren', 'Magnus Sahlgren'];2004;Publication;233;Frank;3
234;Extracting corpus specific knowledge bases from Wikipedia;['David Milne', 'Ian H. Witten', 'David M. Nichols'];2007;Publication;234;Frank;3
235;Thesaurus Based Automatic Keyphrase Indexing;['Witten I. H. Medelyan'];2006;Publication;235;Frank;1
236;"Vom Tagging zu leichtgewichtigen Ontologien --- Tag-Thesaurus und
	soziale, semantische Suche";['Manfred Langen', 'Walter Christian Kammergruber'];2010;Publication;236;Frank;2
237;Identifying Chinese Patent Invalidity Based on an Automatic Constructed Thesaurus.;['Chuen-Min Huang', 'Sheng-Hsing Lu', 'Ching-Yang Wu'];2009;Publication;237;Frank;3
238;Structures for an interactive on-line thesaurus.;['Jon T. Rickman', 'William E. Walden'];1973;Publication;238;Frank;2
239;A Combined Phrase and Thesaurus Browser for Large Document Collections;['Gordon W. Paynter', 'Ian H. Witten'];2001;Publication;239;Frank;2
240;Thesaurus der Medizin als Grundlage eines medizinischen Dokumentationssystems;['Klaus Kayser', 'Wolfgang Ramisch', 'Günter Seither', 'Walter Weimer', 'Ulrike Grellmann'];1974;Publication;240;Frank;5
241;Bookmarking, Thesaurus, and Cooperation in Bilingual Question Answering.;['Jussi Karlgren', 'Preben Hansen', 'Magnus Sahlgren'];2004;Publication;241;Frank;3
242;Agricultural Cross Languages Information Retrieval Schema Based on Muti-Thesaurus Mapping.;['Chun Chang', 'Wenlin Lu'];2008;Publication;242;Frank;2
243;Betriebswirtschaftlicher Thesaurus;['Claus Breit'];1986;Publication;243;Frank;1
244;Creating a Multilingual Geospatial Thesaurus: GEOSS Societal Benefit Areas Translations for Italian, Spanish, French and Slovenian.;['Claudia Cialone', 'Kristin Stock', 'Barbara Medved-Cvikl', 'Andrej Ceglar'];2012;Publication;244;Frank;4
245;Hierarchical word clustering - automatic thesaurus generation.;['Victoria J. Hodge', 'Jim Austin'];2002;Publication;245;Frank;2
246;Automatically Enriching a Thesaurus with Information from Dictionaries.;['Hugo Gonçalo Oliveira', 'Paulo Gomes'];2011;Publication;246;Frank;2
247;Effects of Thesaurus in Requirements Elicitation.;['Junzo Kato', 'Motoshi Saeki', 'Atsushi Ohnishi', 'Haruhiko Kaiya', 'Shuichiro Yamamoto'];2007;Publication;247;Frank;5
248;Thesaurus Anomaly Detection by User Action Monitoring.;['Jeferson L. Bitencourt', 'Píndaro S. Cancian', 'Edson José Pacheco', 'Percy Nohama', 'Stefan Schulz'];2007;Publication;248;Frank;5
249;Extending a Thesaurus in the Pan-Chinese Context.;"['Oi Yee Kwong', ""Benjamin Ka-Yin T'sou""]";2007;Publication;249;Frank;2
250;Semantic Twitter sentiment analysis based on a fuzzy thesaurus.;['Heba Ismail', 'Boumediene Belkhouche', 'Nazar Zaki'];2018;Publication;250;Frank;3
251;A graph-based approach for biomedical thesaurus expansion.;['Ikumi Suzuki', 'Kazuo Hara', 'Masashi Shimbo', 'Yuji Matsumoto'];2009;Publication;251;Frank;4
252;High Automated Integration of Ontologies on the Basis of Extendable Thesaurus.;['Maxim Shishaev', 'Pavel Lomov'];2011;Publication;252;Frank;2
253;Der Thesaurus als Datenbank.;['H. Werner'];1980;Publication;253;Frank;1
254;Leveraging SKOS to Trace the Overhaul of the STW Thesaurus for Economics.;['Joachim Neubert'];2015;Publication;254;Frank;1
255;Mining Patterns from Clinical Trial Annotated Datasets by Exploiting the NCI Thesaurus.;['Joseph Benik', 'Guillermo Palma', 'Louiqa Raschid', 'Andreas Thor', 'Maria-Esther Vidal'];2012;Publication;255;Frank;5
256;Thesaurus structure design: A conceptual approachfor improved interaction;['M.J. López-Huertas'];1997;Publication;256;Frank;1
257;RuThes Thesaurus for Natural Language Processing;['Natalia Loukachevitch', 'Boris Dobrov'];2021;Publication;257;Frank;2
258;Japanese-Spanish Thesaurus Construction Using English as a Pivot;['Jessica C. Ramírez', 'Masayuki Asahara', 'Yuji Matsumoto'];2013;Publication;258;Frank;3
259;"Disambiguating Hypernym Relations for 
 &lt;i&gt;Roget’s&lt;/i&gt;
 Thesaurus";['Alistair Kennedy', 'Stanistaw Szpakowicz'];2007;Publication;259;Frank;2
260;Experiments in Automatic Thesaurus Construction for Information Retrieval;['Gerard Salton'];1972;Publication;260;Frank;1
261;A time-sensitive historical thesaurus-based semantic tagger for deep semantic annotation.;['Scott Piao', 'Fraser Dallachy', 'Alistair Baron', 'Jane Demmen', 'Steve Wattam', 'Philip Durkin', 'James McCracken', 'Paul Rayson', 'Marc Alexander'];2017;Publication;261;Frank;9
262;Enriching a thesaurus as a better question-answering tool and information retrieval aid;['Yejun Wu'];2017;Publication;262;Frank;1
263;Simple Library Thesaurus Alignment with SILAS.;['Roelant Ossewaarde'];2007;Publication;263;Frank;1
264;A Digital Approach to Sound Symbolism in English: Evidence from the Historical Thesaurus.;['Marc Alexander', 'Christian Kay'];2012;Publication;264;Frank;2
265;An Inferential Approach to Information Retrieval and Its Implementation Using a Manual Thesaurus.;['Jian-Yun Nie', 'Martin Brisebois'];1996;Publication;265;Frank;2
266;Thesaurus-based automatic book indexing.;['Martin Dillon'];1982;Publication;266;Frank;1
267;An Association Thesaurus for Information Retrieval.;['W. Bruce Croft', 'Jing Yufeng'];1994;Publication;267;Frank;2
268;Automatic processing of multilingual medical terminology: applications to thesaurus enrichment and cross-language information retrieval;['H. Déjean', 'E. Gaussier', 'J.-M. Renders', 'F. Sadat'];2005;Publication;268;Frank;4
269;MULTHES-ISIS: A Flexible Software for Multilingual Thesaurus Building.;['Mieczyslaw Muraszkiewicz', 'Henryk Rybinski', 'Waclaw Struk'];1993;Publication;269;Frank;3
270;Automatic feature thesaurus enrichment: extracting generic terms from digital gazetteer.;['Jun Wang', 'Ning Ge'];2006;Publication;270;Frank;2
271;The Architecture and Algorithms of Retrieval Thesaurus on Web.;['He Bing-Geng'];2008;Publication;271;Frank;1
272;Helyette: Inflectional Thesaurus for Agglutinative Languages.;['Gábor Prószéky', 'László Tihanyi'];1993;Publication;272;Frank;2
273;Instrumenting the UNWTO's Thesaurus on Tourism & Leisure Activities for seamless adoption in the Web of Data.;['Emanuela De Vita', 'Ivan Marcialis', 'Stefano Salvatore Fadda', 'Alberto Farci', 'Gian Luca Malagnini'];2017;Publication;273;Frank;5
274;Corpus-based Check-up for Thesaurus.;['Natalia V. Loukachevitch'];2019;Publication;274;Frank;1
275;The rates of assignment of thesaurus terms in the ERIC information retrieval system: an analysis of hierarchies and levels;['G. Henry', 'V. Diodato'];1993;Publication;275;Frank;2
276;Ordnung des Thesaurus, Anarchie des Taggens – im Bibliothekskatalog glücklich vereint?;['Lambert Heller'];2011;Publication;276;Frank;1
277;Mathematical model of information retrieval system based on the concept of Fuzzy thesaurus.;['Tadeusz Radecki'];1976;Publication;277;Frank;1
278;Combining thesaurus knowledge and probabilistic topic models;['Natalia Loukachevitch', 'Michael Nokel', 'Kirill Ivanov'];2017;Publication;278;Frank;3
279;Design and Implementation of Geological Thesaurus in Korea.;['Jaehong Hwang', 'Kwanghoon Chi'];2008;Publication;279;Frank;2
280;Thesaurus and Ontology Building for Semantic Library Based on Mathematical Encyclopedia.;['Olga Ataeva', 'Vladimir A. Serebryakov', 'Ekaterina Sinelnikova'];2019;Publication;280;Frank;3
281;Integrating log-based and text-based methods towards automatic web thesaurus construction.;['Hsiao-Tieh Pu', 'Lee-Feng Chien'];2004;Publication;281;Frank;2
282;Visual thesaurus: a product review.;['Sharon Worrell'];2008;Publication;282;Frank;1
284;Evaluation of a Thesaurus-Based Query Expansion;['Luiz Pizzato', 'Vera de Lima'];2003;Publication;284;Frank;2
285;PoolParty: SKOS Thesaurus Management Utilizing Linked Data.;['Thomas Schandl', 'Andreas Blumauer'];2010;Publication;285;Frank;2
286;Learning to Re-rank Medical Images Using a Bayesian Network-Based Thesaurus.;['Hajer Ayadi', 'Mouna Torjmen Khemakhem', 'Jimmy Xiangji Huang', 'Mariam Daoud', 'Maher Ben Jemaa'];2017;Publication;286;Frank;5
287;A Latent Dirichlet Allocation and Fuzzy Clustering Based Machine Learning Model for Text Thesaurus.;['Jia Luo', 'Dongwen Yu', 'Zong Dai'];2020;Publication;287;Frank;3
288;Augmenting Word Space Models for Word Sense Discrimination Using an Automatic Thesaurus.;['Hiram Calvo'];2008;Publication;288;Frank;1
289;Adding New Words into A Chinese Thesaurus.;['Donghong Ji', 'Junping Gong', 'Changning Huang'];1997;Publication;289;Frank;3
290;English-German Cross-Language Retrieval for the GIRT Collection - Exploiting a Multilingual Thesaurus.;['Fredric C. Gey', 'Hailing Jiang'];1999;Publication;290;Frank;2
292;TheofPhilo. A prototype for a Thesaurus of Philosophy.;['Antonio Lamarra', 'Michela Tardella'];2014;Publication;292;Frank;2
293;Unsupervised selection of semantic relations for improving a distributional thesaurus (Sélection non supervisée de relations sémantiques pour améliorer un thésaurus distributionnel) in French.;['Olivier Ferret'];2013;Publication;293;Frank;1
294;Roget’s Thesaurus as an Electronic Lexical Knowledge Base;['M. Jarmasz', 'S. Szpakowicz'];2001;Publication;294;Frank;2
295;Joining automatic query expansion based on thesaurus and word sense disambiguation using WordNet.;['Francisco Joao Pinto', 'Antonio Farina Martinez', 'Carme Fernandez Perez-Sanjulian'];2008;Publication;295;Frank;3
296;Designing a thesaurus-based comparison search interface for linked cultural heritage sources.;['Alia Amin', 'Michiel Hildebrand', 'Jacco van Ossenbruggen', 'Lynda Hardman'];2010;Publication;296;Frank;4
297;An Evaluation of Thesaurus-Enhanced Visual Interfaces for Multilingual Digital Libraries.;['Ali Shiri', 'Stan Ruecker', 'Lindsay Doll', 'Matthew Bouchard', 'Carlos Fiorentino'];2011;Publication;297;Frank;5
298;Hypertext for Hypertext: a Figured Thesaurus.;['Oreste Signore', 'Roberto Aulisi', 'Valeria Ceccanti'];1991;Publication;298;Frank;3
299;A correspondence between thesaurus-based and multi-attribute retrieval systems.;['Wladyslaw M. Turski'];1972;Publication;299;Frank;1
300;Automated extraction of concept matcher thesaurus from semi-structured catalogue-like sources of data on the web.;['Maxim Lapaev'];2016;Publication;300;Frank;1
301;A Thesaurus-Based Semantic Classification of English Collocations.;['Chung-Chi Huang', 'Kate H. Kao', 'Chiung-Hui Tseng', 'Jason S. Chang'];2009;Publication;301;Frank;4
302;Bringing the “Thesaurus for Economics” on to the Web of Linked Data;['Joachim Neubert'];2009;Publication;302;Frank;1
303;Japanese-Spanish Thesaurus Construction Using English as a Pivot.;['Jessica C. Ramírez', 'Masayuki Asahara', 'Yuji Matsumoto'];2008;Publication;303;Frank;3
304;Word Similarity Computing Based on HowNet and Synonymy Thesaurus.;['Hongmei Nie', 'Jiaqing Zhou', 'Hui Wang', 'Minshuo Li'];2019;Publication;304;Frank;4
305;Large Scale Concept Detection in Video Using a Region Thesaurus.;['Evaggelos Spyrou', 'Giorgos Tolias', 'Yannis Avrithis'];2009;Publication;305;Frank;3
306;eGovernement-Thesaurus und Suchapplikationen in Vorarlberg für Landes- und Gemeindeparlamente und Landeshomepage.;['Manfred Hauer'];2008;Publication;306;Frank;1
307;Wikipedia Mining for Huge Scale Japanese Association Thesaurus Construction.;['Kotaro Nakayama', 'Masahiro Ito', 'Takahiro Hara', 'Shojiro Nishio'];2008;Publication;307;Frank;4
308;Hierarchical visual thesaurus building for satellite image retrieval based on semantic region labelling.;['Sahbi Bahroun', 'Nozha Boujemaa', 'Ziad Belhadj'];2010;Publication;308;Frank;3
309;Document Ranking using an Enriched Thesaurus.;['Roy Rada', 'Judith Barlow', 'Jan Potharst', 'Pieter E. Zanstra', 'Djujan Bijstra'];1991;Publication;309;Frank;5
310;Entropy-based Sentence Selection with Roget's Thesaurus.;['Alistair Kennedy', 'Terry Copeck', 'Diana Inkpen', 'Stan Szpakowicz'];2010;Publication;310;Frank;4
311;Study of a thesaurus creation.;['Jean-Michel Knippel', 'Mohamed Tayeb Laskri'];1992;Publication;311;Frank;2
312;Using Roget's Thesaurus for Fine-grained Emotion Recognition.;['Saima Aman', 'Stan Szpakowicz'];2008;Publication;312;Frank;2
313;The NASA Image Collection Visual Thesaurus.;['Mark E. Rorvig', 'C. H. Turner', 'J. Moncada'];1999;Publication;313;Frank;3
314;Lexical cohesion computed by thesaural relations as an indicator of the structure of text;['Jane Morris', 'Graeme Hirst'];1991;Publication;314;Frank;2
315;Grepator: Accents & Case Mix for Thesaurus.;['Vincent Mary', 'Pierre Le Beux'];2005;Publication;315;Frank;2
316;Proposition d'organisation physique et mecanismes d'interrogation de thesaurus.;['Jean-Michel Knippel'];1999;Publication;316;Frank;1
317;A Formal Concept Analysis-Based Domain-Specific Thesaurus and Its Application in Document Representation;['Jihn-Chang Jehng', 'Shihchieh Chou', 'Chin-Yi Cheng'];2010;Publication;317;Frank;3
318;Semi-automatic Construction of Cross-period Thesaurus.;['Chaya Liebeskind', 'Ido Dagan', 'Jonathan Schler'];2013;Publication;318;Frank;3
319;Extraction of thesaurus and project structure from Linux kernel source tree.;['A. Y. Sokolov', 'I. R. Golovko', 'Evgeny A. Cherkashin'];2012;Publication;319;Frank;3
320;Short text classification based on strong feature thesaurus.;['Bing kun Wang', 'Yongfeng Huang', 'Wanxia Yang', 'Xing Li'];2012;Publication;320;Frank;4
321;Enriching a thesaurus as a better retrieval aid.;['Yejun Wu'];2010;Publication;321;Frank;1
322;Similarity Between Multi-valued Thesaurus Attributes: Theory and Application in Multimedia Systems.;['Tom Matthé', 'Rita M. M. De Caluwe', 'Guy De Tré', 'Axel Hallez', 'Jörg Verstraete', 'Marc Leman', 'Olmo Cornelis', 'Dirk Moelants', 'Jos Gansemans'];2006;Publication;322;Frank;9
323;An Approach to Measuring Semantic Relatedness of Geographic Terminologies Using a Thesaurus and Lexical Database Sources.;['Zugang Chen', 'Jia Song', 'Yaping Yang'];2018;Publication;323;Frank;3
324;Thesaurus-based query and document expansion in conceptual indexing with UMLS: Application in medical information retrieval.;['Diem Thi Hoang Le', 'Jean-Pierre Chevallet', 'Dong Thi Bich Thuy'];2007;Publication;324;Frank;3
325;A Bilingual Information Retrieval Thesaurus: Design and Value Addition with Online Lexical Tools.;['K. S. Raghavan', 'A. Neelameghan'];2008;Publication;325;Frank;2
326;Linkset Quality Assessment for the Thesaurus Framework LusTRE.;['Riccardo Albertoni', 'Monica De Martino', 'Paola Podestà'];2016;Publication;326;Frank;3
327;Automatic Indexing from a Thesaurus Using Bayesian Networks: Application to the Classification of Parliamentary Initiatives.;['Luis M. de Campos', 'Juan M. Fernández-Luna', 'Juan F. Huete', 'Alfonso E. Romero'];2007;Publication;327;Frank;4
328;Semiautomatic Building and Extension of Terminological Thesaurus for Land Surveying Domain.;['Adam Rambousek', 'Ales Horák', 'Vit Suchomel', 'Lucia Kocincová'];2014;Publication;328;Frank;4
329;A Translation-based, Automatically Derived Thesaurus of Lithuanian Adjectives - An Explorative Study.;['Agne Nugaraite'];2014;Publication;329;Frank;1
330;Experiments on Manual Thesaurus based Query Expansion for Ad-hoc Monolingual Gujarati Information Retrieval Tasks.;['Hardik Joshi J.', 'Jyoti Pareek'];2020;Publication;330;Frank;2
331;Standard-Thesaurus Wirtschaft. Ein neuer Standard der Wirtschaftsinformation?;['M. Stock'];1999;Publication;331;Frank;1
332;A Comparison of WordNet and Roget's Taxonomy for Measuring Semantic Similarity;['Michael McHale'];1998;Publication;332;Frank;1
333;Hans Minners Thesaurus medicaminum: pharmaziehistor. Untersuchungen zu e. alemann. Drogenkunde d. Spätmittelalters;['Ursula Schmitz'];1974;Publication;333;Frank;1
334;Representing the NCI Thesaurus in OWL DL: Modeling tools help modeling languages.;['Natalya Fridman Noy', 'Sherri de Coronado', 'Harold R. Solbrig', 'Gilberto Fragoso', 'Frank W. Hartel', 'Mark A. Musen'];2008;Publication;334;Frank;6
335;An Evaluation of Type-10 Homograph Discrimination at the Semi-colon Level in Roget's International Thesaurus.;['John R. Talburt', 'Donna M. Mooney'];1990;Publication;335;Frank;2
336;Image Retrieval with a Visual Thesaurus.;['Yanzhi Chen', 'Anthony R. Dick', 'Anton van den Hengel'];2010;Publication;336;Frank;3
337;Roget's thesaurus as a lexical resource for natural language processing;['Mario Jarmasz'];2012;Publication;337;Frank;1
338;Toward a Fuzzy Thesaurus Based on Similarity in Fuzzy Covering.;['Rolly Intan', 'Masao Mukaidono'];2004;Publication;338;Frank;2
339;ProThes: thesaurus-based meta-search engine for a specific application domain.;['Pavel Braslavski', 'Gleb Alshanski', 'Anton Shishkin'];2004;Publication;339;Frank;3
340;Approaches To Thesaurus Production.;['A. Michiels', 'J. Noël'];1982;Publication;340;Frank;2
341;Terminologiearbeit im Bereich Wissensorganisation;['Stefan Hauser'];2007;Publication;341;Frank;1
342;Automatic lexeme acquisition for a multilingual medical subword thesaurus.;['Kornél G. Markó', 'Stefan Schulz', 'Udo Hahn'];2007;Publication;342;Frank;3
343;Data Weeding Techniques Applied to Roget's Thesaurus.;['Uta Priss', 'L. John Old'];2007;Publication;343;Frank;2
344;Using Multiple Sources to Construct a Sentiment Sensitive Thesaurus for Cross-Domain Sentiment Classification.;['Danushka Bollegala', 'David J. Weir', 'John A. Carroll'];2011;Publication;344;Frank;3
345;Semantic Problems of Thesaurus Mapping;['Martin Doerr'];2001;Publication;345;Frank;1
346;Generalizing Case Frames Using a Thesaurus and the MDL Principle.;['Hang Li', 'Naoki Abe'];1998;Publication;346;Frank;2
347;The China Legal Thesaurus project : origins, framework and progress;['Qian Chonghao', 'Liu Joan Lijun', 'Lin Yanping'];2019;Publication;347;Frank;3
349;Thesaurus structure, descriptive parameters, and scale.;['Robert Losee'];2016;Publication;349;Frank;1
350;Using Thesaurus To Model Keyblock-Based Image Retrieva.;['Lei Zhu', 'Chun Tang', 'Aibing Rao', 'Aidong Zhang'];2001;Publication;350;Frank;4
351;Thesaurus of common topics (TCT): Origin, functions, structure.;['Eugeniusz Scibor', 'Eleonora Jabrzemska'];1985;Publication;351;Frank;2
352;Automatic Selection of Class Labels from a Thesaurus for an Effective Semantic Tagging of Corpora.;['Alessandro Cucchiarelli', 'Paola Velardi'];1997;Publication;352;Frank;2
353;Thesaurus-based Retrieval of Case Law.;['Michel C. A. Klein', 'Wouter Van Steenbergen', 'Elisabeth M. Uijttenbroek', 'Arno R. Lodder', 'Frank van Harmelen'];2006;Publication;353;Frank;5
354;"Thesaurus-based Efficient Example Retrieval by Generating Retrieval
	Queries from Similarities";['Takehito Utsuro', 'Kiyotaka Uchimoto', 'Mitsutaka Matsumoto', 'Makoto Nagao'];1994;Publication;354;Frank;4
355;Mining Domain-Specific Thesauri from Wikipedia: A Case Study;['David Milne', 'Olena Medelyan', 'Ian H. Witten'];2006;Publication;355;Frank;3
